basinc,bolge_adi,c_sicaklik,ft_max_nem,ft_max_sicaklik,ft_min_nem,ft_min_sicaklik,ft_name,ft_ruzgar,gun_adi,hava_durumu,max_sicaklik,min_sicaklik,nem,ruzgar,st_max_nem,st_max_sicaklik,st_min_nem,st_min_sicaklik,st_name,st_ruzgar,tarih
1044,Ardahan,"-5,8",51,3,17,-15,Cuma,5,Perşembe,Açık,NOT FOUND,NOT FOUND,45,4,65,2,31,-15,Cumartesi,5,29 Şubat - 15.13
1022,Antalya,19,92,20,40,10,Cuma,11,Perşembe,Açık,NOT FOUND,NOT FOUND,70,7,88,20,40,11,Cumartesi,20,29 Şubat - 15.13
1022,Bartın,17,93,22,49,6,Cuma,8,Perşembe,Az Bulutlu,NOT FOUND,NOT FOUND,68,3,94,17,71,7,Cumartesi,5,29 Şubat - 15.13
1026,Batman,"14,5",73,15,38,-1,Cuma,5,Perşembe,Açık,NOT FOUND,NOT FOUND,18,4,88,15,32,-1,Cumartesi,9,29 Şubat - 15.13
1020,Aydın,24,81,23,26,10,Cuma,9,Perşembe,Açık,NOT FOUND,NOT FOUND,36,5,87,20,43,10,Cumartesi,10,29 Şubat - 15.14
1020,Balıkesir,"22,2",96,20,57,6,Cuma,7,Perşembe,Açık,NOT FOUND,NOT FOUND,39,4,96,17,54,6,Cumartesi,15,29 Şubat - 15.13
1030,Bayburt,"8,3",57,11,16,-4,Cuma,5,Perşembe,Açık,NOT FOUND,NOT FOUND,19,8,71,10,23,-5,Cumartesi,15,29 Şubat - 15.13
1024,Artvin,"15,1",37,18,16,5,Cuma,7,Perşembe,Açık,NOT FOUND,NOT FOUND,13,0,41,19,23,4,Cumartesi,8,29 Şubat - 15.13
1022,Ankara,"18,1",79,18,30,4,Cuma,11,Perşembe,Açık,NOT FOUND,NOT FOUND,26,8,74,17,31,6,Cumartesi,10,29 Şubat - 15.13
1024,Aksaray,"18,1",59,19,26,4,Cuma,11,Perşembe,Açık,NOT FOUND,NOT FOUND,19,0,66,15,32,7,Cumartesi,18,29 Şubat - 15.13
1023,Amasya,"20,4",67,21,35,5,Cuma,6,Perşembe,Açık,NOT FOUND,NOT FOUND,17,8,65,19,41,5,Cumartesi,6,29 Şubat - 15.13
1030,Ağrı,"7,1",53,10,9,-5,Cuma,5,Perşembe,Açık,NOT FOUND,NOT FOUND,22,6,54,10,22,-4,Cumartesi,9,29 Şubat - 15.13
1025,Adıyaman,"15,2",80,15,52,6,Cuma,6,Perşembe,Açık,NOT FOUND,NOT FOUND,31,0,82,14,45,5,Cumartesi,10,29 Şubat - 15.13
