tarih,tahmin,uretim,Q5,Q25,Q75,Q95
01.03.2024 00:00,1442.42,1402.03,0.00,0.00,0.00,0.00
01.03.2024 00:10,1446.00,1415.29,0.00,0.00,0.00,0.00
01.03.2024 00:20,1449.59,1411.72,0.00,0.00,0.00,0.00
01.03.2024 00:30,1453.17,1421.61,0.00,0.00,0.00,0.00
01.03.2024 00:40,1456.75,1484.59,0.00,0.00,0.00,0.00
01.03.2024 00:50,1460.33,1516.25,0.00,0.00,0.00,0.00
01.03.2024 01:00,1463.92,1571.40,0.00,0.00,0.00,0.00
01.03.2024 01:10,1479.16,1563.59,0.00,0.00,0.00,0.00
01.03.2024 01:20,1494.40,1605.20,0.00,0.00,0.00,0.00
01.03.2024 01:30,1509.64,1633.38,0.00,0.00,0.00,0.00
01.03.2024 01:40,1524.88,1646.16,0.00,0.00,0.00,0.00
01.03.2024 01:50,1540.12,1658.11,0.00,0.00,0.00,0.00
01.03.2024 02:00,1555.36,1725.06,0.00,0.00,0.00,0.00
01.03.2024 02:10,1570.44,1773.12,0.00,0.00,0.00,0.00
01.03.2024 02:20,1585.52,1778.19,0.00,0.00,0.00,0.00
01.03.2024 02:30,1600.60,1746.65,0.00,0.00,0.00,0.00
01.03.2024 02:40,1615.68,1732.90,0.00,0.00,0.00,0.00
01.03.2024 02:50,1630.75,1744.53,0.00,0.00,0.00,0.00
01.03.2024 03:00,1645.83,1762.56,0.00,0.00,0.00,0.00
01.03.2024 03:10,1647.51,1761.52,0.00,0.00,0.00,0.00
01.03.2024 03:20,1649.19,1815.07,0.00,0.00,0.00,0.00
01.03.2024 03:30,1650.87,1813.55,0.00,0.00,0.00,0.00
01.03.2024 03:40,1652.55,1802.61,0.00,0.00,0.00,0.00
01.03.2024 03:50,1654.23,1782.59,0.00,0.00,0.00,0.00
01.03.2024 04:00,1655.91,1806.21,416.27,1149.92,2168.41,2902.06
01.03.2024 04:10,1653.53,1796.63,414.66,1148.30,2166.78,2900.42
01.03.2024 04:20,1651.15,1805.24,413.05,1146.68,2165.15,2898.78
01.03.2024 04:30,1648.78,1801.31,411.44,1145.06,2163.51,2897.13
01.03.2024 04:40,1646.40,1759.28,409.83,1143.44,2161.88,2895.49
01.03.2024 04:50,1644.02,1759.98,408.22,1141.82,2160.25,2893.85
01.03.2024 05:00,1641.65,1758.23,406.60,1140.20,2158.62,2892.21
01.03.2024 05:10,1649.85,1752.84,414.12,1147.74,2166.20,2899.82
01.03.2024 05:20,1658.05,1713.63,421.64,1155.29,2173.78,2907.42
